"filename", "language", "SCSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\GLAVPROJECTS\socialNetwork\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 6, 0, 3, 9
"c:\GLAVPROJECTS\socialNetwork\frontend\src\api\auth.ts", "TypeScript", 0, 24, 0, 0, 3, 27
"c:\GLAVPROJECTS\socialNetwork\frontend\src\api\fetchClent.ts", "TypeScript", 0, 25, 0, 0, 6, 31
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\CardPeopleItem.tsx", "TypeScript JSX", 0, 0, 47, 0, 3, 50
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\CardTripItem.tsx", "TypeScript JSX", 0, 0, 33, 0, 4, 37
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\HomeHeader.tsx", "TypeScript JSX", 0, 0, 24, 0, 3, 27
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\MainPage\ExploreHeader\ExploreHeader.tsx", "TypeScript JSX", 0, 0, 36, 0, 4, 40
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\MainPage\ExploreHeader\index.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\socialNetwork\frontend\src\assets\NavBar.tsx", "TypeScript JSX", 0, 0, 37, 0, 6, 43
"c:\GLAVPROJECTS\socialNetwork\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 9, 0, 1, 10
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Login\Login.tsx", "TypeScript JSX", 0, 0, 38, 0, 7, 45
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Login\index.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Register.tsx", "TypeScript JSX", 0, 0, 85, 2, 12, 99
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step1.tsx", "TypeScript JSX", 0, 0, 34, 0, 4, 38
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step2.tsx", "TypeScript JSX", 0, 0, 35, 0, 4, 39
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step3.tsx", "TypeScript JSX", 0, 0, 35, 0, 4, 39
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step4.tsx", "TypeScript JSX", 0, 0, 35, 0, 5, 40
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step5.tsx", "TypeScript JSX", 0, 0, 71, 0, 10, 81
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step6.tsx", "TypeScript JSX", 0, 0, 46, 0, 3, 49
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step7.tsx", "TypeScript JSX", 0, 0, 43, 0, 6, 49
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\Steps\Step8.tsx", "TypeScript JSX", 0, 0, 53, 0, 7, 60
"c:\GLAVPROJECTS\socialNetwork\frontend\src\pages\Auth\Register\index.ts", "TypeScript", 0, 1, 0, 0, 0, 1
